FORENAME;NAME;COUNTRY;BIRTH_DATE;GUEST_ANIMAL_HAS_ALLERGY;HOST_ANIMAL;GUEST_FOOD_CONSTRAINT;HOST_FOOD;HOBBIES;GENDER;PAIR_GENDER;HISTORY;FORENAME;NAME;COUNTRY;BIRTH_DATE;GUEST_ANIMAL_HAS_ALLERGY;HOST_ANIMAL;GUEST_FOOD_CONSTRAINT;HOST_FOOD;HOBBIES;GENDER;PAIR_GENDER;HISTORY
Niamh;N;ES;2003-08-20;;no;;vegetarian;gaming,music;female;;;Peter;P;ES;2003-06-16;;no;;nonuts;photography,travel;male;;
Orion;O;FR;2005-05-11;;yes;vegetarian;;music,cooking;male;;same;Quinn;Q;FR;2005-01-28;;yes;vegetarian;;travel,hiking;female;;same
Phoebe;P;GE;2006-12-24;;no;nonuts;nonuts;cooking,sports;female;;other;Rachel;R;GE;2006-12-04;;yes;nonuts;nonuts;hiking,cooking;female;;Other
Quinn;Q;IT;2004-02-01;no;yes;;vegetarian;sports,technology;female;;;Samuel;S;IT;2004-09-03;no;no;;vegetarian;cooking,gardening;;
Rowan;R;ES;2005-07-16;yes;no;vegetarian;;technology,culture;male;;same;Tina;T;ES;2005-02-09;yes;no;vegetarian;;gardening,music;female;;same
Sora;S;FR;2007-10-09;no;yes;nonuts;vegetarian;culture,science;female;;other;Uriel;U;FR;2007-04-13;no;yes;nonuts;vegetarian;music,painting;male;;Other
Thorne;T;GE;2003-06-03;;no;;nonuts;science,reading;male;;;Violet;V;GE;2003-05-26;;no;;nonuts;painting,writing;male;;
Uriel;U;IT;2005-11-29;;yes;vegetarian;;reading,gaming;male;;same;William;W;IT;2005-07-08;;yes;vegetarian;;writing,gaming;male;;same
Vesper;V;ES;2006-09-07;;yes;nonuts;vegetarian;gaming,music;female;;other;Xenia;X;ES;2006-08-22;;yes;nonuts;nonuts;gaming,technology;female;;Other
Willow;W;FR;2004-04-22;no;yes;;nonuts;music,cooking;female;;;Yannick;Y;FR;2004-10-17;no;no;;vegetarian;technology,sports;male;;
Xavier;X;GE;2005-09-01;yes;no;vegetarian;;cooking,sports;male;;same;Zara;Z;GE;2005-12-01;yes;no;vegetarian;;sports,culture;female;;same
Yara;Y;IT;2007-02-17;no;yes;nonuts;nonuts;sports,technology;female;;other;Adam;A;IT;2007-09-06;no;no;nonuts;vegetarian;culture,science;male;;Other
Zephyr;Z;ES;2003-05-06;;no;;vegetarian;technology,culture;male;;;Beth;B;ES;2003-01-21;;yes;;nonuts;science,reading;female;;
Anya;A;FR;2005-10-13;;yes;vegetarian;;culture,science;female;;same;Caleb;C;FR;2005-03-18;;yes;vegetarian;;reading,photography;male;;same
Blaise;B;GE;2006-03-27;;no;nonuts;vegetarian;science,reading;male;;other;Diana;D;GE;2006-11-14;;no;nonuts;nonuts;photography,travel;female;;Other
Caelum;C;IT;2004-07-04;no;yes;;nonuts;reading,gaming;male;;;Ethan;E;IT;2004-02-05;no;yes;;vegetarian;travel,hiking;male;;
Daphne;D;ES;2005-12-19;yes;no;vegetarian;;gaming,music;female;;same;Fiona;F;ES;2005-06-29;yes;no;vegetarian;;hiking,cooking;female;;same
Elias;E;FR;2007-01-25;no;no;nonuts;vegetarian;music,cooking;male;;other;George;G;FR;2007-01-11;no;yes;nonuts;vegetarian;cooking,gardening;female;;Other
Freya;F;GE;2003-09-11;;no;;nonuts;cooking,sports;female;;;Hannah;H;GE;2003-08-04;;no;;nonuts;gardening,music;female;;
Gideon;G;IT;2005-04-02;;yes;vegetarian;;sports,technology;male;;same;Isaac;I;IT;2005-09-27;;no;vegetarian;;music,painting;male;;same
Hera;H;ES;2006-10-16;;no;nonuts;nonuts;technology,culture;female;;other;Jessica;J;ES;2006-04-19;;yes;nonuts;nonuts;painting,writing;female;;Other
Icarus;I;FR;2004-01-08;no;no;;vegetarian;culture,science;male;;;Kevin;K;FR;2004-07-13;no;yes;;vegetarian;writing,gaming;male;;
Juno;J;GE;2005-06-21;yes;no;vegetarian;;science,reading;female;;same;Laura;L;GE;2005-10-24;yes;no;vegetarian;;gaming,technology;female;;same
Kian;K;IT;2007-08-01;no;yes;nonuts;vegetarian;reading,gaming;male;;other;Marcus;M;IT;2007-02-08;no;yes;nonuts;vegetarian;technology,sports;male;;Other
Lyra;L;ES;2003-03-14;;no;;nonuts;gaming,music;female;;;Nora;N;ES;2003-04-29;;no;;nonuts;sports,culture;female;;
Maddox;M;FR;2005-08-28;;yes;vegetarian;;music,cooking;male;;same;Oscar;O;FR;2005-05-16;;yes;vegetarian;;culture,science;male;;same
Nova;N;GE;2006-05-09;;no;nonuts;nonuts;cooking,sports;female;;other;Penny;P;GE;2006-10-31;;no;nonuts;nonuts;science,reading;female;;Other
Odin;O;IT;2004-11-05;no;no;;vegetarian;sports,technology;male;;;Riley;R;IT;2004-03-01;no;yes;;vegetarian;reading,photography;male;;
Petra;P;ES;2005-03-20;yes;no;vegetarian;;technology,culture;female;;same;Sarah;S;ES;2005-07-20;yes;no;vegetarian;;photography,travel;male;;same
Rhys;R;FR;2007-06-10;no;yes;nonuts;vegetarian;culture,science;male;;other;Thomas;T;FR;2007-11-09;no;no;nonuts;vegetarian;travel,hiking;male;;Other
Selene;S;GE;2003-07-29;;no;;nonuts;science,reading;female;;;Ursula;U;GE;2003-09-22;;yes;;nonuts;hiking,cooking;female;;
Titan;T;IT;2005-12-06;;yes;vegetarian;;reading,gaming;male;;same;Vincent;V;IT;2005-01-05;;yes;vegetarian;;cooking,gardening;male;;same
Uma;U;ES;2006-02-23;;no;nonuts;nonuts;gaming,music;female;;other;Wendy;W;ES;2006-08-11;;no;nonuts;nonuts;gardening,music;female;;Other
Victor;V;FR;2004-05-17;no;yes;;vegetarian;music,cooking;male;;;Xavier;X;FR;2004-12-25;no;no;;vegetarian;music,painting;male;;
Wren;W;GE;2005-10-02;yes;no;vegetarian;;cooking,sports;male;;same;Yvonne;Y;GE;2005-03-07;yes;yes;vegetarian;;painting,writing;female;;same
